"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2021","4.5270","4.5595","4.5635","4.5263","-","-0.71%"
"Jun 13, 2021","4.5595","4.5462","4.5808","4.5462","-","0.48%"
"Jun 11, 2021","4.5375","4.4930","4.5950","4.4775","-","1.17%"
"Jun 10, 2021","4.4850","4.5185","4.5345","4.4415","94.82K","-1.02%"
"Jun 09, 2021","4.5310","4.5420","4.5590","4.4850","78.49K","-0.55%"
"Jun 08, 2021","4.5560","4.5200","4.5600","4.4605","94.00K","0.65%"
"Jun 07, 2021","4.5265","4.5230","4.5390","4.4685","69.91K","-0.06%"
"Jun 04, 2021","4.5290","4.4675","4.5395","4.4370","88.23K","1.48%"
"Jun 03, 2021","4.4630","4.6040","4.6205","4.4295","127.70K","-2.80%"
"Jun 02, 2021","4.5915","4.6530","4.6675","4.5790","75.46K","-1.33%"
"Jun 01, 2021","4.6535","4.6755","4.7070","4.6375","128.29K","-0.59%"
"May 31, 2021","4.6810","4.6930","4.7047","4.6525","-","-0.27%"
"May 30, 2021","4.6937","4.6723","4.6950","4.6697","-","0.35%"
"May 28, 2021","4.6775","4.6660","4.6950","4.5925","104.13K","0.31%"
"May 27, 2021","4.6630","4.5250","4.6770","4.5015","90.45K","2.95%"
"May 26, 2021","4.5295","4.5105","4.5470","4.4945","65.58K","0.51%"
"May 25, 2021","4.5065","4.5315","4.5815","4.4910","86.45K","-0.42%"
"May 24, 2021","4.5255","4.5020","4.5415","4.4440","79.53K","0.99%"
"May 21, 2021","4.4810","4.5350","4.5625","4.4690","105.06K","-1.90%"
"May 20, 2021","4.5680","4.5720","4.6250","4.5230","102.54K","-0.19%"
"May 19, 2021","4.5765","4.7065","4.7280","4.5285","142.07K","-3.15%"
"May 18, 2021","4.7255","4.7155","4.7820","4.7040","78.11K","0.30%"
"May 17, 2021","4.7115","4.6675","4.7220","4.6405","76.76K","1.22%"
"May 14, 2021","4.6545","4.6860","4.7120","4.6060","115.49K","-0.77%"
"May 13, 2021","4.6905","4.7190","4.7675","4.6435","113.72K","-0.96%"
"May 12, 2021","4.7360","4.8000","4.8245","4.7060","108.33K","-0.55%"
"May 11, 2021","4.7620","4.6650","4.8035","4.6625","109.38K","0.98%"
"May 10, 2021","4.7160","4.7800","4.8880","4.6875","160.25K","-0.68%"
"May 07, 2021","4.7485","4.6090","4.7510","4.5975","120.25K","3.17%"
"May 06, 2021","4.6025","4.5190","4.6125","4.5005","79.80K","1.74%"
"May 05, 2021","4.5240","4.5560","4.5725","4.5035","64.61K","0.06%"
"May 04, 2021","4.5215","4.5285","4.5625","4.4900","64.43K","-0.15%"
"May 03, 2021","4.5285","4.4620","4.5355","4.4350","40.97K","1.35%"
"Apr 30, 2021","4.4680","4.4830","4.5305","4.4460","74.28K","-0.41%"
"Apr 29, 2021","4.4865","4.5000","4.5510","4.4645","92.26K","-0.24%"
"Apr 28, 2021","4.4975","4.4810","4.5185","4.4155","70.66K","0.27%"
"Apr 27, 2021","4.4855","4.4350","4.5250","4.4350","70.98K","0.92%"
"Apr 26, 2021","4.4445","4.3415","4.4560","4.3350","60.02K","2.38%"
"Apr 23, 2021","4.3410","4.2730","4.3490","4.2655","37.20K","1.44%"
"Apr 22, 2021","4.2795","4.2960","4.3000","4.2525","29.18K","-0.19%"
"Apr 21, 2021","4.2875","4.2190","4.3035","4.2140","31.34K","1.58%"
"Apr 20, 2021","4.2210","4.2410","4.3035","4.2095","24.26K","-0.57%"
"Apr 19, 2021","4.2450","4.1710","4.2830","4.1590","28.76K","1.73%"
"Apr 16, 2021","4.1730","4.2315","4.2495","4.1655","26.88K","-1.23%"
"Apr 15, 2021","4.2250","4.1120","4.2415","4.1120","40.57K","2.20%"
"Apr 14, 2021","4.1340","4.0465","4.1380","4.0365","38.44K","2.35%"
"Apr 13, 2021","4.0390","4.0220","4.0655","4.0055","19.79K","0.34%"
"Apr 12, 2021","4.0255","4.0520","4.0645","3.9950","20.11K","-0.51%"
"Apr 09, 2021","4.0460","4.0980","4.1100","4.0430","20.39K","-1.29%"
"Apr 08, 2021","4.0990","4.0650","4.1010","4.0480","21.24K","1.02%"
"Apr 07, 2021","4.0575","4.1090","4.1185","4.0400","14.42K","-1.48%"
